id,文本,真实类别,预测类别,多预测的类别,少预测的类别
121,隔夜黄金再度遭遇猛烈抛售，金价持续震荡下挫！,财经/交易-降价,财经/交易-出售/收购,财经/交易-出售/收购,财经/交易-降价
215,荣耀20系列发布不久后，上一代的老旗舰荣耀V20就进入了降价模式，如今已经来到了2000出头的位置，毕竟搭载着麒麟980处理器，2000多的价格让荣耀V20的性价比一下就凸显了出来，因此有不少用户趁此期间换购了荣耀V20，然而让人没想到的是，荣耀V20才降价没多久，荣耀9X系列又发布了。,产品行为-发布,"产品行为-发布,财经/交易-降价",财经/交易-降价,
119,本次油价调整具体情况如下：汽油每吨下调120元、柴油每吨下调115元。,财经/交易-降价,财经/交易-涨价,财经/交易-涨价,财经/交易-降价
170,今天简述的一部国产动画片《魁拔》获得过第五届亚洲动漫大赛最佳技术视觉效果奖动画类，是由北京青青树动漫科技有限公司于2011年开始推出的由王川执导的国产奇幻动画系列大电影。,产品行为-获奖,"产品行为-获奖,产品行为-发布",产品行为-发布,
347,《马力欧医生世界》将于7月10日登陆手机平台,产品行为-上映,产品行为-发布,产品行为-发布,产品行为-上映
353,据悉，新车将在9月正式上市。,产品行为-上映,产品行为-发布,产品行为-发布,产品行为-上映
359,庆祝新中国成立70周年，由国务院新闻办公室对外推广局，湖南省政府新闻办公室、湖南广播电视台指导，芒果超媒、芒果TV、Discovery联合出品的全球首档跨国联合制作职业体验纪实真人秀《功夫学徒》于9月16日起每周一中午12点在芒果TV全端上线，9月21日在湖南卫视，Discovery全球电视网播出。,产品行为-上映,产品行为-发布,产品行为-发布,产品行为-上映
755,编者按：近日，山东彩民罗先生凭借一张2倍投的“6+2”复式追加票揽得大乐透3603万大奖。据了解，大奖得主在得知中奖后火速辞职，而关于今后的打算，罗先生表示要先买一套房子，然后马上找对象结婚。,组织关系-辞/离职,"产品行为-获奖,组织关系-辞/离职",产品行为-获奖,
817,"国泰航空今日宣布以下管理高层人事变动，于二零一九年八月十九日生效：
——邓健荣将接替何杲出任行政总裁
——林绍波将接替卢家培出任顾客及商务总裁（林绍波将留任香港快运行政总裁，直至另行公布继任人）",组织关系-加盟,产品行为-获奖,产品行为-获奖,组织关系-加盟
1460,5月29日，2019年全国气舞大赛半决赛(桂林站）落下帷幕。山东菏泽队、山东济宁队、山东师范大学队分别夺得各组优胜奖，成功晋级总决赛。,竞赛行为-晋级,"竞赛行为-晋级,产品行为-获奖",产品行为-获奖,
288,《新相亲大会》第二季开播在即 男嘉宾被赞“翻版李钟硕”,产品行为-发布,产品行为-上映,产品行为-上映,产品行为-发布
732,今日，北京星权律师事务所发文称，关于王嘉尔起诉张某名誉权纠纷案民事判决书已于2019年5月4日生效，张某须向王嘉尔赔礼道歉并赔偿经济损失及精神损害抚慰金共计人民币6万元。据悉王嘉尔已经收到赔偿金，并将赔偿金捐赠给公益项目，这件明星名誉纠纷案也算是尘埃落定。,司法行为-起诉,交往-道歉,交往-道歉,司法行为-起诉
165,点赞！环江代表队在全市诵读比赛中获奖啦,产品行为-获奖,"产品行为-获奖,交往-点赞",交往-点赞,
172,当地时间9月13日，日本选手纪平梨花在赛季揭幕战的2019年加拿大秋季经典赛上勇夺女单冠军，同时两届奥运会冠军羽生结弦在短节目比赛中遥遥领先。,产品行为-获奖,竞赛行为-夺冠,竞赛行为-夺冠,产品行为-获奖
383,高圆圆千里迢迢赶赴横店看望拍戏的赵又廷，这一回她不再是孤身一人去了，带着他们爱的结晶，他们的女儿Rhea去看望爸爸。,交往-探班,竞赛行为-夺冠,竞赛行为-夺冠,交往-探班
550,游泳——残运会：杨博尊获正式开幕后首枚金牌,组织行为-开幕,竞赛行为-夺冠,竞赛行为-夺冠,组织行为-开幕
1210,"2019年 8月16日，许昕30岁的生日，知名乒乓球记者李武军在个人微博上发文，祝福许昕生日快乐，他写到：
“今天是许昕的生日，祝生日快乐！提起许昕，人们总会想起：直拍王，人民艺术家，乒坛创造大师等等称谓……国际乒坛，是你在捍卫着直拍的荣誉；与谁配合，都能夺冠，你又是最佳搭档王；东京奥运，你迎难而上、重任在肩；你就是“不一样的烟火”一一许昕！”
其实许昕之所以是因为被人称作不一样的烟火，不仅仅因为他在双打上搭配张继科，马龙和樊振东获得三届世锦赛男双冠军（2011，2015和2017），搭档梁夏银和刘诗雯获得两届世锦赛混双冠军（2015和2019），也不仅仅因为他打球极具欣赏性，能背后击球，能海底捞月，更因为他是个很温暖的球商和情商很高，又很努力刻苦自律的人！",人生-庆生,竞赛行为-夺冠,竞赛行为-夺冠,人生-庆生
1243,本赛季，拿到了欧冠冠军的利物浦无疑是最为成功的俱乐部之一，但是在曾经联赛领先曼城9分的情况下，最后以一分之差输给了曼城，真的可以说颇为遗憾。,竞赛行为-胜负,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-夺冠,
